ingredients,t_ingredient_name,normalized_name
木耳（雲耳）,木耳,木耳
蒜頭,蒜頭,蒜
薑片,薑片,薑
辣椒,辣椒,辣椒
醬油或鮮味露,醬油或鮮味露,黃豆
白醋,白醋,白醋
檸檬汁,檸檬汁,檸檬
香油,香油,芝麻油
糖,糖,糖
新鮮黑木耳,新鮮黑木耳,黑木耳
白雪菇（可不加),白雪菇（可不加),菇
薑絲,薑絲,薑
烏醋,烏醋,烏醋
白糖,白糖,糖
醬油,醬油,醬油
白醋,白醋,白醋
香油,香油,芝麻油
醬油膏（香菇素蠔油),醬油膏（香菇素蠔油),黃豆
白芝麻,白芝麻,芝麻
綠竹筍,綠竹筍,竹筍
水,水,水
鹽,鹽,鹽
白米,白米,米
沙拉醬,沙拉醬,沙拉醬
洋菜粉,洋菜粉,洋菜粉
糖,糖,糖
水,水,水
紅心火龍果,紅心火龍果,火龍果
奇異果,奇異果,奇異果
芒果,芒果,芒果
3號夾鏈袋,3號夾鏈袋,
4號夾鏈袋,4號夾鏈袋,
檸檬,檸檬,檸檬
冰糖,冰糖,糖
高粱醋,高粱醋,高粱
吐司,吐司,吐司
法國麵包,法國麵包,麵粉
茄子,茄子,茄子
牛番茄,牛番茄,番茄
橄欖油,橄欖油,橄欖油
胡椒鹽,胡椒鹽,鹽
路邊攤臭豆腐,路邊攤臭豆腐,豆腐
超市乳酪絲,超市乳酪絲,乳酪
雞蛋,雞蛋,雞蛋
白飯（涼的）,白飯,米飯
小黃瓜,小黃瓜,小黃瓜
牛蕃茄,牛蕃茄,番茄
水煮蛋,水煮蛋,雞蛋
無調味堅果,無調味堅果,堅果
酪梨,酪梨,酪梨
九層塔,九層塔,九層塔
大蒜,大蒜,蒜
檸檬汁,檸檬汁,檸檬
鹽,鹽,鹽
黑胡椒,黑胡椒,黑胡椒
清水,清水,水
路邊攤臭豆腐,路邊攤臭豆腐,豆腐
7-11 沙拉,7-11 沙拉,雞肉
地瓜,地瓜,地瓜
小黃瓜,小黃瓜,小黃瓜
雞蛋,雞蛋,雞蛋
牛奶,牛奶,牛奶
小松菜,小松菜,小松菜
鹽,鹽,鹽
香油,香油,芝麻油
糖,糖,糖
白芝麻,白芝麻,芝麻
雞柳條（或雞胸一片）,雞柳條,雞肉
鮭魚,鮭魚,鮭魚
高麗菜,高麗菜,高麗菜
豆皮,豆皮,豆皮
金針菇,金針菇,金針菇
雞肉排,雞肉排,雞肉
鹽,鹽,鹽
白胡椒,白胡椒,白胡椒
糖,糖,糖
白醬油,白醬油,大豆
果醋,果醋,水果
醬油,醬油,醬油
紅甜椒,紅甜椒,甜椒
黃甜椒,黃甜椒,甜椒
蔥,蔥,蔥
鮮味炒手,鮮味炒手,鮮味炒手
雞蛋,雞蛋,雞蛋
雞蛋,雞蛋,雞蛋
蔥,蔥,蔥
太白粉,太白粉,太白粉
鹽,鹽,鹽
白胡椒粉,白胡椒粉,白胡椒粉
水,水,水
檸檬,檸檬,檸檬
糖,糖,糖
蒟蒻果凍粉,蒟蒻果凍粉,蒟蒻
義大利麵,義大利麵,義大利麵
橄欖油,橄欖油,橄欖油
鹽巴,鹽巴,鹽
韓國年糕,韓國年糕,米
水,水,水
洋蔥,洋蔥,洋蔥
泡菜,泡菜,泡菜
起司片,起司片,起司
蔥花 麻油,蔥花 麻油,食用油
雞蛋豆腐,雞蛋豆腐,豆腐
櫻花蝦,櫻花蝦,蝦
蒜末,蒜末,蒜
蔥末,蔥末,蔥
辣椒,辣椒,辣椒
白胡椒粉,白胡椒粉,白胡椒粉
海鹽,海鹽,鹽
五香粉,五香粉,五香粉
粗粒黑胡椒,粗粒黑胡椒,黑胡椒
紅肉火龍果,紅肉火龍果,火龍果
奶油乳酪,奶油乳酪,奶油乳酪
動物鮮奶油,動物鮮奶油,鮮奶油
全脂鮮奶,全脂鮮奶,牛奶
吉利丁片,吉利丁片,吉利丁
細砂糖,細砂糖,糖
麥維他消化餅,麥維他消化餅,麵粉
無鹽奶油,無鹽奶油,奶油
蛋,蛋,雞蛋
鮮奶,鮮奶,牛奶
起士,起士,奶酪
想加的餡料,想加的餡料,想加的餡料
布丁粉,布丁粉,牛奶
糖,糖,糖
水,水,水
牛奶,牛奶,牛奶
棒棒腿,棒棒腿,雞肉
雞翅,雞翅,雞翅
醬油,醬油,醬油
橄欖油,橄欖油,橄欖油
香蒜粉,香蒜粉,大蒜
蒜末,蒜末,蒜
胡椒粉,胡椒粉,胡椒
五香粉,五香粉,五香粉
辣椒粉,辣椒粉,辣椒
花椰菜,花椰菜,花椰菜
胡椒鹽,胡椒鹽,鹽
香蒜粉,香蒜粉,大蒜
辣椒粉,辣椒粉,辣椒
小卷,小卷,小卷
青蔥,青蔥,蔥
薑絲,薑絲,薑
辣椒,辣椒,辣椒
蒸魚醬油,蒸魚醬油,醬油
米酒,米酒,米酒
水,水,水
鳳梨蜜,鳳梨蜜,鳳梨
青檸檬切塊,青檸檬切塊,青檸檬
薄荷,薄荷,薄荷
冰塊,冰塊,水
小黃瓜,小黃瓜,小黃瓜
蘿蔔,蘿蔔,蘿蔔
雞胸肉,雞胸肉,雞肉
蒜末,蒜末,蒜
白芝麻,白芝麻,芝麻
鼎泰豐辣醬,鼎泰豐辣醬,食用油
烏醋,烏醋,烏醋
銥光有機姬松茸,銥光有機姬松茸,姬松茸
綜合生菜,綜合生菜,生菜
水煮蛋,水煮蛋,雞蛋
油漬蕃茄,油漬蕃茄,食用油
有機食用花(可加可不加),有機食用花,花
巴薩米克醋,巴薩米克醋,葡萄
優質橄欖油,優質橄欖油,食用油
馬斯卡彭,馬斯卡彭,牛奶
糖粉,糖粉,糖
新鮮蛋黃,新鮮蛋黃,雞蛋
掬水軒營養口糧,掬水軒營養口糧,小麥
無糖可可粉,無糖可可粉,可可粉
濃縮黑咖啡（g7咖啡一包）,濃縮黑咖啡,咖啡
萊姆酒（可以省略）,萊姆酒,萊姆
義大利香料粉,義大利香料粉,香料
鹽巴,鹽巴,鹽
米酒,米酒,米酒
路邊攤鹹水雞,路邊攤鹹水雞,雞肉
超市味付海苔,超市味付海苔,海苔
便當店香米飯,便當店香米飯,米
綠竹筍,綠竹筍,竹筍
紅蘿蔔絲,紅蘿蔔絲,紅蘿蔔
芹菜絲少許,芹菜絲少許,芹菜
辣椒,辣椒,辣椒
黑胡椒,黑胡椒,黑胡椒
香油,香油,芝麻油
鹽巴,鹽巴,鹽
海帶根,海帶根,海帶
紅蘿蔔絲,紅蘿蔔絲,紅蘿蔔
芹菜絲,芹菜絲,芹菜
薑絲,薑絲,薑
豆瓣醬,豆瓣醬,豆瓣醬
糖,糖,糖
蠔油,蠔油,蠔油
清醬油,清醬油,醬油
鹽,鹽,鹽
香油,香油,芝麻油
山苦瓜,山苦瓜,苦瓜
酸梅(話梅),酸梅,梅
水,水,水
二砂糖,二砂糖,糖
麥芽糖,麥芽糖,麥芽糖
絞肉,絞肉,豬肉
細麵條,細麵條,小麥
原味花生,原味花生,花生
小黃瓜,小黃瓜,小黃瓜
原味芝麻醬,原味芝麻醬,芝麻
粗的辣椒粉,粗的辣椒粉,辣椒
細的辣椒粉,細的辣椒粉,辣椒
五香粉,五香粉,五香粉
油,油,食用油
白芝麻,白芝麻,芝麻
黑醋,黑醋,穀物
雞胸肉,雞胸肉,雞肉
雞腿肉,雞腿肉,雞肉
紅蘿蔔,紅蘿蔔,紅蘿蔔
黃瓜,黃瓜,黃瓜
香菜,香菜,香菜
蔥絲(可加可不加以個人喜愛）,蔥絲(可加可不加以個人喜愛）,蔥
姜,姜,姜
鹽,鹽,鹽
白胡椒,白胡椒,白胡椒
香油,香油,芝麻油
花椒油,花椒油,食用油
龍鬚菜,龍鬚菜,龍鬚菜
水,水,水
橄欖油,橄欖油,橄欖油
海鹽,海鹽,鹽
冰水,冰水,水
小黃瓜,小黃瓜,小黃瓜
透抽,透抽,透抽
海帶芽,海帶芽,海帶
鹽,鹽,鹽
米酒,米酒,米酒
米醋,米醋,米醋
細砂糖,細砂糖,糖
鹽,鹽,鹽
雞胸肉,雞胸肉,雞肉
洋蔥,洋蔥,洋蔥
大蒜,大蒜,蒜
辣椒,辣椒,辣椒
檸檬,檸檬,檸檬
青蔥,青蔥,蔥
豆薯(半顆),豆薯,豆薯
鹽巴,鹽巴,鹽
二砂糖,二砂糖,糖
糯米醋,糯米醋,糯米
百香果,百香果,百香果
米苔目,米苔目,米
黃甜椒,黃甜椒,甜椒
毛豆仁,毛豆仁,毛豆
新鮮黑木耳,新鮮黑木耳,黑木耳
小豆苗,小豆苗,豆苗
大白菜,大白菜,大白菜
紅甜椒,紅甜椒,甜椒
蛋,蛋,雞蛋
橄欖油,橄欖油,橄欖油
蜂蜜,蜂蜜,蜂蜜
剝皮蒜仁,剝皮蒜仁,大蒜
黑胡椒粒,黑胡椒粒,胡椒粒
義式綜合香料,義式綜合香料,香料
食鹽,食鹽,鹽
青蔥,青蔥,蔥
白蘿蔔,白蘿蔔,白蘿蔔
韭菜,韭菜,韭菜
彩椒,彩椒,彩椒
乾燥海帶芽,乾燥海帶芽,海帶芽
洋蔥,洋蔥,洋蔥
白芝麻粒,白芝麻粒,芝麻
辣椒,辣椒,辣椒
鰹魚醬油,鰹魚醬油,鰹魚
白醋,白醋,白醋
香油,香油,芝麻油
細砂糖,細砂糖,糖
小黃瓜,小黃瓜,小黃瓜
新鮮蘑菇切片,新鮮蘑菇切片,蘑菇
老薑絲,老薑絲,薑
辣椒圈,辣椒圈,辣椒
鹽,鹽,鹽
黑胡椒粉,黑胡椒粉,胡椒粉
香菇粉,香菇粉,香菇
芝麻油,芝麻油,食用油
小卷,小卷,小卷
萵苣,萵苣,萵苣
小顆的牛蕃茄,小顆的牛蕃茄,番茄
米酒,米酒,米酒
日式胡麻醬,日式胡麻醬,胡麻醬
味霖,味霖,味醂
日式七味粉,日式七味粉,香料
菠菜,菠菜,菠菜
培根,培根,培根
奶油,奶油,奶油
蒜頭,蒜頭,蒜
鹽,鹽,鹽
雞胸肉,雞胸肉,雞肉
鹽,鹽,鹽
黑胡椒,黑胡椒,黑胡椒
辣椒,辣椒,辣椒
醬油,醬油,醬油
毛豆,毛豆,黃豆
鷹嘴豆,鷹嘴豆,鷹嘴豆
紅蘿蔔,紅蘿蔔,紅蘿蔔
小黃瓜,小黃瓜,小黃瓜
橄欖油,橄欖油,橄欖油
亞麻子油,亞麻子油,食用油
黑胡椒粒,黑胡椒粒,胡椒粒
鹽,鹽,鹽
昆布粉,昆布粉,昆布
吐司,吐司,吐司
塔塔醬,塔塔醬,雞蛋
火腿,火腿,豬肉
焗烤絲,焗烤絲,芝士
蔬果類,蔬果類,蔬菜
雞胸肉or雞腿肉,雞胸肉or雞腿肉,雞肉
蒜頭,蒜頭,蒜
青蔥,青蔥,蔥
杏鮑菇,杏鮑菇,杏鮑菇
水,水,水
韓式辣醬or豆瓣醬,韓式辣醬or豆瓣醬,黃豆
橄欖油（沙拉油也可）,橄欖油,橄欖油
新鮮香菇,新鮮香菇,香菇
山蘇,山蘇,山蘇
蒜頭,蒜頭,蒜
雞粉或塩巴,雞粉或塩巴,雞肉
四季豆,四季豆,四季豆
馬鈴薯（中型）,馬鈴薯,馬鈴薯
雞蛋,雞蛋,雞蛋
白胡椒粉,白胡椒粉,白胡椒粉
粉紅岩鹽 或 一般食用鹽,粉紅岩鹽 或 一般食用鹽,鹽
板豆腐,板豆腐,豆腐
九層塔葉,九層塔葉,九層塔
油(麻油),油,食用油
醬油,醬油,醬油
糖,糖,糖
米酒,米酒,米酒
蒜末,蒜末,蒜
豬油,豬油,食用油
蒜頭,蒜頭,蒜
梅花肉片,梅花肉片,梅花肉
蘆筍,蘆筍,蘆筍
小辣椒,小辣椒,辣椒
味霸,味霸,豬肉
鹽,鹽,鹽
白開水,白開水,水
茄子,茄子,茄子
番茄,番茄,番茄
蔥,蔥,蔥
柴魚片,柴魚片,柴魚
麻油,麻油,芝麻油
減鹽日式醬油,減鹽日式醬油,大豆
味醂,味醂,味醂
泡麵,泡麵,小麥
空心菜,空心菜,空心菜
貢丸,貢丸,貢丸
