ingredients,Unit,Grams_Per_Unit
蒜片,片,0.5
冰滴咖啡壺,組,0.0
磨豆機,台,0.0
圓形濾紙,張,0.1
壽司豆皮,張,7.0
板豆腐,盒,350.0
椰香小饅頭,顆,25.0
鮭魚,片,120.0
青蔥絲,支,20.0
蒜頭片,粒,5.0
光鴨,隻,2000.0
竹葉,片,0.5
栗子,個,10.0
豆苗,半斤,300.0
花椰菜,顆,1000.0
西芹,根,50.0
咖喱磚,塊,25.0
脆梅,顆,10.0
椰奶,罐,400.0
大塊臭豆腐,塊,150.0
蔥段,支,15.0
麵筋球,個,20.0
豆皮,張,30.0
"材料Ａ：
蓮藕",又1/2斤,250.0
水,∼8杯,240.0
紗布袋,個,0.0
栗子,粒,20.0
B.當歸片,片,3.0
枸杞,粒,0.15
A.墨魚,支,10.0
C.蔥,根,20.0
乾蔥,粒,0.1
全麦蛋餅皮,一張,45.0
苜蓿芽,碗,150.0
小黃瓜,半條,60.0
紅蘿蔔,半條,75.0
岩燒海苔,張,3.0
"滷包：
草果",顆,15.0
"滷汁：
蔥",根,20.0
鮪魚罐頭,罐,160.0
D.草莓,顆,20.0
細剉冰,碗,250.0
糖,又1/2小匙,0.0
熱帶風情茶,茶包,2.5
冰塊,~4顆,0.0
芹菜,∼3根,0.0
鳳梨,片,60.0
牛頭牌玉米粒,罐,340.0
豆腐,盒,350.0
牛頭牌豚骨湯塊,塊,12.0
鳳梨,顆,1500.0
芋頭丁,量杯,180.0
紅豆,量杯,190.0
糖,量杯,200.0
韓國味噌,中匙,18.0
黑醋,中匙,15.0
柳橙,個,200.0
青花椰菜,顆,400.0
棒棒腿,隻,120.0
味好美月桂葉,片,0.5
整顆黑胡椒粒,粒,0.0
奇異果,顆,85.0
罐頭水蜜桃,罐,425.0
秋葵,枝,12.0
青蔥,枝,15.0
蒜苗,根,7.0
蒜頭,瓣,5.0
芹菜,支,40.0
竹筍,個,300.0
木耳,片,2.0
半圓豆皮,張,40.0
鹽,又1/2茶匙,2.5
牛蒡,支,200.0
黃瓜,條,200.0
綠黃瓜,條,200.0
番茄,顆,150.0
3.檸檬,顆,120.0
白色巧克力磚,塊,200.0
黑棗,顆,7.0
海帶,條,25.0
烤麩,顆,0.8
小白菜,根,70.0
白砂糖,碗,212.5
黃萊姆,顆,25.0
新鮮咖哩葉,枝,5.0
馬鈴薯,顆,200.0
新鮮草莓,顆,20.0
圓形小蕃茄,半斤,300.0
竹籤,數支,75.0
山藥,段,150.0
黃地瓜,顆,200.0
冰磚,塊,15.0
紅甜椒,支,125.0
拉麵,人份,90.0
鯛魚片,片,35.0
胡蘿蔔,條,90.0
醬油,小杯,75.0
蠔油,小杯,75.0
素高湯,大杯,350.0
蘑菇,朵,15.0
大四方油豆腐,塊,350.0
南義厚皮披薩麵皮,張,250.0
"裝飾：
檸檬",半個,60.0
酸菜心,片,20.0
檸檬,又1/2個,60.0
細沙糖,ｇ,1.0
沙拉油,ｇ,1.0
醬油,ｇ,1.0
A.鮪魚罐頭,罐,180.0
香草條,小段,0.8
山東白菜,顆,1000.0
四季豆,條,3.0
盒裝豆腐,盒,350.0
新鮮蓮藕,節,200.0
春捲皮,張,10.0
蛋白,顆,33.0
紫蘇梅,顆,10.0
蔥,汁,1.0
醬瓜,塊,250.0
紅棗.,顆,7.0
澄粉,湯匙,4.0
蔥白,根,20.0
法國麵包,片,30.0
起士,片,20.0
壽司海苔,半張,1.5
蘑菇片,~5顆,35.0
麵粉水,酌量,0.0
蕃茄醬,大匙(酌量),18.0
豬肋排,塊,200.0
B.太白粉,+1/2小匙,4.0
牛蒡,根,150.0
八角,個,1.5
蔥段,跟,8.0
全麥蛋餅皮,片,40.0
美生菜,片,10.0
帶骨肉雞胸,塊,300.0
烤架,個,0.0
水煮鮪魚,罐,100.0
肉桂,錢,3.75
圓形小蕃茄,個,18.0
長竹籤,支,0.0
蕃茄片,片,30.0
A.豬肚,個,0.0
腐衣,數張,0.0
厚片土司,片,45.0
蒜,顆,4.0
薑,小塊,1.5
乾梅子,顆,7.0
棒子,支,20.0
紅地瓜,條,100.0
綠茶包,包,3.0
黑棗,粒,8.0
乾冬菇,朵,15.0
青椒,顆,150.0
港式臘腸,根,60.0
Espresso,人份,45.0
素牛肉湯滷包,包,120.0
素沙茶醬,瓶,280.0
話梅,顆,5.0
蘆筍,支,20.0
全麥土司,片,30.0
巧克力模型,個,15.0
澎大海,顆,2.0
冰塊,是量,20.0
去邊白吐司,片,30.0
韭菜,根,0.5
"藥膳：
當歸",片,2.0
川芎,片,2.0
蜜甘草,片,1.5
黑枣,個,7.0
红枣,個,7.0
牛头牌玉米酱,罐,380.0
竹笋,朵,1.5
美国萝卜,支,70.0
"淫羊藿：
当归",錢,3.75
枸杞,錢,3.75
杜仲,錢,3.75
熟地,錢,3.75
川芎,錢,3.75
黃耆,錢,3.75
甘草,錢,3.75
"辛香料：
蔥",支,25.0
素豬肚,個,250.0
鮮蝦,尾,20.0
蛤蜊,顆,15.0
魚板,片,20.0
菠菜,棵,75.0
蒜泥,又1/2小匙,0.0
醋,又1/2小匙,2.5
芋頭粿,片,0.0
高麗菜,棵,1000.0
青辣椒,支,15.0
海苔片,包,0.0
壽司飯,鍋,0.0
小黃瓜條,條,150.0
素肉鬆,碗,0.0
無蛋沙拉醬,包,0.0
豆乾,塊,40.0
紅棗,~5顆,7.0
決明子,湯匙,12.0
枸杞,湯匙,6.0
熱水,~300ml,1.0
吳郭魚,尾,300.0
韓式辣醬,中匙,6.0
雞蛋,數顆,55.0
高麗菜,半斤,250.0
水,C.C,1.0
料理酒,C.C,1.0
新鮮百合,粒,2.0
秀珍菇,朵,60.0
草菇,朵,60.0
鹽,又1/2小匙,2.5
水,杯半,360.0
素香滷汁,鍋,0.0
A.大雞腿,隻,200.0
A菜心,棵,200.0
金桔,個,8.0
薑,塊,30.0
水,半杯,120.0
酸黃瓜,條,15.0
越瓜,條,30.0
韭菜盒子麵皮,個,8.0
皇家咖啡匙,支,15.0
水梨,個,200.0
青辣椒,根,10.0
濕豆腐皮,片,20.0
鹽,小撮,0.3
油條,條,65.0
磨菇,朵,15.0
杏鮑菇,支,100.0
五穀雜糧吐司,片,30.0
紅茶包,包,2.5
米血糕,塊,80.0
肉桂棒,根,10.0
3.春卷皮,張,7.0
藥燉排骨藥包,包,50.0
南瓜,顆,1500.0
苦瓜,段,150.0
冰塊,∼8塊,18.0
荸薺,粒,5.0
B.香蘭汁,滴,0.05
青蘆筍,支,40.0
玉米筍,條,180.0
白菜芽,棵,180.0
酪梨,顆,200.0
白米,量杯,190.0
花椰菜,朵,750.0
菠菜葉,片,1.0
青蔥花,支,15.0
冰棒模型,個,0.0
白醋,∼3大匙,15.0
培根,片,25.0
蔥段,根,15.0
1.帶骨雞,隻,1200.0
2.洋蔥,個,200.0
桂皮,枝,10.0
朝天椒,根,3.0
蒜頭,個,40.0
水豆腐,塊,350.0
茄子,個,250.0
B.魚露,數滴,0.5
蛋液,顆,55.0
冬粉,捆,75.0
新鮮茶葉片,片,0.5
脆梅,個,30.0
淡色醬油,C.C,1.0
牛蒡,條,200.0
羅漢果,顆,40.0
紅辣椒絲,支,0.2
高湯,碗,250.0
清水,碗,250.0
A.十全中藥包,包,100.0
雞腳,隻,40.0
哈密瓜,顆,1500.0
罐頭水蜜桃,顆,65.0
草莓,顆,15.0
高梁酒,C.C,1.0
素蒜蒻花枝卷,條,80.0
"其他：
蒸笼",组,0.0
小碟子,數個,0.0
紅番茄,個,180.0
泰國辣椒,根,4.0
豆包,塊,40.0
豆乾,片,60.0
鹽,又 1/2大匙,25.5
花菇絲,朵,8.0
日本醃梅,顆,15.0
芝麻湯圓,盒,0.0
紫菜,片,20.0
牛頭牌雞湯塊,塊,10.0
洋蔥絲,個,150.0
小黃瓜,片,5.0
美生菜片,個,15.0
烤麩,粒,0.5
圓茄,個,200.0
紅椒,顆,8.0
黃椒,顆,8.0
紫酥梅,顆,7.0
紅辣椒圈,支,7.0
蒜蓉,块,5.0
A.草果,顆,2.0
3.白土司,片,28.0
蝦目魚肚,片,1.5
綠竹筍,條,150.0
紅番茄(中),顆,120.0
醃漬紫蘇梅,顆,10.0
新鮮紫蘇葉,片,0.5
壽司豆皮,個,20.0
蒜片,颗,5.0
地瓜,条,200.0
葡萄柚,颗,250.0
鸭,只,2000.0
蒜蓉,块,15.0
炸腐皮,个,15.0
干辣椒,条,1.0
吐司,片,28.0
柳橙,颗,170.0
马蹄,粒,15.0
牛蒡,公分,0.0
薏仁粒,碗,200.0
烏龍麵,包,200.0
蟹肉條,條,18.0
蝦,支,15.0
B.蛋,顆,55.0
吉利丁片,片,2.5
酪梨,個(熟透),170.0
布丁,個(或蛋黃1個),120.0
寬粉條,？公克,1.0
大白菜,個,1500.0
滷白菜滷包,包,25.0
高麗菜,大片,70.0
豆皮,片,50.0
葡萄乾,數顆,0.0
軟殼蟹,隻,100.0
美生菜,顆,300.0
雞蛋,粒,55.0
田雞,隻,100.0
冬瓜,圈,750.0
薑,小段,8.0
檸檬,半顆,50.0
甜青椒,支,180.0
蒜仁,個,5.0
素肉鬆,湯匙,8.0
四紅果茶,茶包,2.5
冰塊,~3,0.0
四神湯料,包,0.0
大紅蕃茄,個,250.0
黃金奇異果,顆,90.0
佛手瓜,顆,300.0
雪裡紅,盒,200.0
泡好香菇,朵,20.0
檸檬葉,片,0.5
酸子,個,7.0
椰奶,c.c,1.0
雞腳,支,40.0
素肚,個,70.0
生香菇,朵,25.0
日式三角油豆腐,片,40.0
B.黃檸檬,顆,120.0
橘橘,顆,150.0
C.酥梨,個,200.0
A.黃檸檬,顆,120.0
蒜蓉,片,1.0
冬筍,支,300.0
原味塔皮,吋1個,40.0
白肉雞棒棒腿,支,100.0
薑,一小段,1.5
乾栗子,顆,7.0
大白菜,顆,1000.0
澎湖角瓜,個,400.0
冬瓜球,個,80.0
成熟香蕉,根,150.0
蜂蜜,小碗,200.0
竹筍,條,400.0
南瓜,個(約1斤),600.0
綠辣椒,根,15.0
小饅頭,個,40.0
當歸,片,2.0
細砂糖,又1/2茶匙,2.5
紅辣椒片,條,0.5
白果,粒,1.5
酸菜,個,0.0
乾胡瓜條,捲,1.5
罐頭水蜜桃片,片,30.0
青茶茶包,個,2.0
A.太白粉,約3大匙,9.0
玉米醬,罐,650.0
斑蘭葉,片,3.0
奶油球,個,15.0
香腸,條,60.0
小魚干,條,2.0
昆布,×5公分,5.0
玉米,支,250.0
"火鍋料：
高麗菜",片,20.0
紅椒,個,180.0
檸檬屑,個,8.0
鋁杯,個,0.0
原味優格,罐,120.0
藍莓果醬,罐,400.0
罐頭鳳梨,片,30.0
紅櫻桃,顆,7.0
Ａ.全蛋,又1/2個,55.0
水,ＣＣ,1.0
凍豆腐,盒,350.0
魚餃,顆,20.0
蛋絞,顆,18.0
大陸A菜,棵,150.0
醃漬梅子,顆,15.0
A.紅酸梅,粒,8.0
中型蕃薯,條,200.0
五花肉片,盒,300.0
蔥,隻,15.0
吳郭魚,條,400.0
蒸籠,組,0.0
小瓷碗,數個,0.0
紅話梅,顆,8.0
荳蔻,顆,15.0
A.板豆腐,塊,350.0
涼薯,片,15.0
B.芹菜,支,50.0
豆腐乳,小塊,15.0
茄子,根,250.0
鮮香菇片,朵,20.0
草莓,個,15.0
素火腿,片,20.0
草菇,棵,10.0
乾栗子,粒,3.0
中型中卷,尾,150.0
青椒圈,顆,0.5
洋蔥圈,顆,10.0
紅蕃茄片,粒,15.0
辣椒碎,支,1.0
蒜頭碎,粒,1.5
吉利丁片,片半,3.4
A.蘭花干,個,10.0
B.草果,顆,3.0
滷汁材料:水,CC,1.0
醬油,CC,1.05
咖哩塊,人份,0.0
山粉圓,湯匙,12.0
羅漢果,個,20.0
米,半杯,95.0
1.厚片土司,片,40.0
電子鍋,個,0.0
西芹,片,10.0
紅蘿蔔,根,80.0
冬粉,小梱,55.0
4.小月餅印模1.5兩,個,56.7
馬鈴薯,粒,150.0
山藥,條,250.0
三角豆干,個,25.0
綠花椰菜,粒,15.0
香草精,數滴,0.5
紅茶茶包,個,2.5
A.牛蒡,條,200.0
沸水,c.c.,1.0
冷水,c.c,1.0
花菇,朵,7.0
桂竹葉,片,1.0
麻竹葉,片,1.0
"麵糊：
雞蛋",顆,50.0
酒釀,罐(約3杯),720.0
檸檬香茉,枝,15.0
A.茄子,條,50.0
醬油,半杯,110.4
中芹,根,15.0
四季豆,根,1.5
醬油,C.C,0.92
西谷米,包,0.0
柚子,大匙（含湯汁）,15.0
辣椒末,支,0.0
麻吉燒,顆,20.0
竹筍,半斤,250.0
青椒,粒,80.0
萵美生菜,大片,15.0
海苔片,片,3.0
雞,半隻,1000.0
泡芙：蛋,顆,55.0
青芒果,顆,300.0
烏龍茶包,包,3.0
日式三角豆腐,片,70.0
冷凍烏龍麵,份,150.0
茉香綠茶茶包,個,3.0
陳皮,片,2.0
話梅,粒,7.0
甜豆,個,1.5
新鮮九層塔,支,10.0
鹽,碗,500.0
傳統豆腐,板,350.0
豆豉,碗,250.0
糖,湯匙,15.0
豆包,張,10.0
紅茶包,袋,2.5
山藥,∼6公分厚,0.0
黃耆,片,4.0
麵線,束,60.0
娃娃菜,棵,200.0
素雞,個,75.0
涼粉皮,張,20.0
蛤蜊,粒,15.0
韭菜,條,2.0
白粥,半碗,120.0
魚高湯,碗,220.0
異國香蘋茶,茶包,3.0
肉桂棒,支,10.0
雪梨,個,250.0
C.蔥,支,15.0
乾辣椒,根,1.0
蘋果茶包,包,2.5
炸豆包,片,20.0
A.素魚,尾,150.0
牙籤,數根,0.0
薄荷果露,~15cc,15.0
壽司豆皮,包,180.0
橘子,顆,180.0
甜薰衣草,~3枝,3.0
千張腐皮,~3張,15.0
水餃皮,張,7.0
起司酥片,片,15.0
酒釀,碗,200.0
1.蒜蓉丸,個,20.0
3.白飯,碗,200.0
鋁箔紙,張,0.0
2.煉乳,罐,380.0
烏龍麵,小包,180.0
法式芥末醬,湯匙,15.0
柳橙,顆,180.0
洋蔥末,湯匙,12.0
辣椒,數支,10.0
雞蛋豆腐,盒,300.0
豆腐乳,磚,20.0
養樂多,瓶,100.0
A.石蓮花,片,2.0
玫瑰花瓣,片,0.5
紅蘿蔔條,條,10.0
香椲,片,12.0
C.海苔片,片,1.0
辣椒末,條,0.0
大番茄,顆,180.0
九層塔,根,3.0
黃金小蕃茄,個,15.0
聖女小蕃茄,個,15.0
高湯,CC,1.0
雞蛋,半顆,28.0
A.熱狗,∼5支,55.0
竹籤,∼5支,0.5
梅林辣醬油,湯匙,14.0
番茄糊,湯匙,18.0
薑末,湯匙,3.0
洋香菜末,湯匙,3.0
白菜絲,大碗,300.0
木瓜,顆,750.0
豬大腸頭,條,200.0
青蔥,條,15.0
栗子,顆,15.0
水,又2/1杯,120.0
燒海苔,片,3.0
辣椒片,支,0.0
青江菜,顆,150.0
叉燒,片,20.0
新鮮乾貝,個,30.0
高麗菜葉,片,25.0
西芹,支,50.0
乾貝,顆,10.0
"內餡材料2：
青蔥",根,10.0
茶梅,顆,10.0
蓮藕,段,200.0
素牛肉湯麵包,個,80.0
A.芒果,顆,250.0
昆布,cm,0.75
白土司,條,400.0
白玉苦瓜,條,300.0
白梅子,粒,7.0
發芽米飯,碗,180.0
茄子,小段,50.0
砂糖,+1/2大匙,6.0
"濕包：
香葉",片,0.1
芝麻土司,片,28.0
芹菜葉,片,3.0
義式千層麵,片,20.0
蕃茄糊,罐,400.0
月桂葉,∼3片,0.2
粉皮條,張,40.0
辣椒片,條,2.0
蒜片,粒,5.0
辣豆腐乳,塊,15.0
四角厚片油豆腐,塊,25.0
青蔥段,支,15.0
扁魚,片,30.0
"滷汁：
滷味包",包,10.0
香蕉,條,120.0
鮮奶,又1/4杯,0.0
四角油豆腐,塊,20.0
粗孔網篩,個,0.0
鹹金棗,顆,8.0
4.紅茶茶渣,包,5.0
紅辣椒,半條,4.0
小白菜,棵,70.0
"材料Ａ：
春捲皮",張,15.0
肉豆蔻,顆,0.5
春捲皮,片,15.0
九層塔,跟,5.0
傳統豆腐,塊,350.0
白蒟蓛片,片,15.0
三色甜椒,各20公克,20.0
蟹腳肉,盒,150.0
牛頭牌原味高湯,罐,450.0
烤豆腐,塊,350.0
油豆腐,塊,75.0
野薑花,朵,30.0
油豆腐皮,片,8.0
熱白飯,碗,180.0
薄土司,條,28.0
甜椒,個,175.0
青江菜,棵,150.0
板條,張,100.0
拉式奶泡杯,組,0.0
溫度計,支,0.0
法國吐司,片,28.0
番茄,片,20.0
起司,片,25.0
煑雞片,片,25.0
新鮮黑木耳,朵,10.0
"辛香料：
蒜仁",顆,4.0
6.柳橙汁&柳橙皮,個,180.0
雞腿,隻,150.0
紅豆腐乳,小塊,15.0
紅辣椒片,根,8.0
九層塔,大把,30.0
咖啡凍,顆,120.0
青蔥片,支,20.0
全雞,隻,1500.0
A.洋蔥,顆,200.0
石榴,顆,300.0
烤箱,台,0.0
檸檬圓片,片,7.0
紫高麗菜,顆,1500.0
素火腿切片,片,20.0
鳳梨片,片,30.0
土司,片,28.0
魚高湯,c.c,1.0
中型地瓜,條,200.0
杏仁粉,~2匙,9.0
核桃,∼3顆,4.0
黃豆粉,湯匙,9.0
瓜仔肉罐頭,罐,180.0
香菜,條,0.5
八角,支,2.0
奶油,大1匙,14.0
味醂,大1匙,15.0
砂糖,小1/2匙,2.0
烏醋,大1匙,15.0
冬瓜茶磚,塊,100.0
燒仙草液,c.c,1.0
"茯苓材料：
水",c.c,1.0
桑椹,顆,0.5
芹菜,隻,50.0
菠菜,~4片,2.0
蘆薈,條,80.0
